"ISSN" "titulo" "estrato" "ISSN2"
"99" "2156-8502" "ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY" "C" "21568502"
"100" "2156-8456" "ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO)" "C" "21568456"
"101" "0065-2504" "ADVANCES IN ECOLOGICAL RESEARCH" "A2" "00652504"
"102" "2165-9486" "ADVANCES IN EDUCATION" "C" "21659486"
"103" "2331-1991" "ADVANCES IN ENTOMOLOGY" "C" "23311991"
"104" "0065-2571" "ADVANCES IN ENZYME REGULATION" "B5" "00652571"
"105" "2328-4854" "ADVANCES IN ENZYME RESEARCH (ONLINE)" "C" "23284854"
"106" "2357-8181" "ADVANCES IN FORESTRY SCIENCE" "C" "23578181"
"107" "0065-2881" "ADVANCES IN MARINE BIOLOGY" "B1" "00652881"
"108" "1687-9309" "ADVANCES IN METEOROLOGY" "B3" "16879309"
"109" "2165-3410" "ADVANCES IN MICROBIOLOGY" "C" "21653410"
"110" "2165-3402" "ADVANCES IN MICROBIOLOGY" "C" "21653402"
"111" "1099-1557" "ADVANCES IN PHARMACOEPIDEMIOLOGY & DRUG SAFETY" "B1" "10991557"
"112" "1522-1229" "ADVANCES IN PHYSIOLOGY EDUCATION (ONLINE)" "C" "15221229"
"113" "0065-3454" "ADVANCES IN THE STUDY OF BEHAVIOR" "B1" "00653454"
"114" "0309-1708" "ADVANCES IN WATER RESOURCES" "A1" "03091708"
"115" "2356-6922" "ADVANCES IN ZOOLOGY" "C" "23566922"
"116" "0001-9240" "AERONAUTICAL JOURNAL (1968)" "B2" "00019240"
"117" "2156-4574" "AFR J HERPETOL" "B3" "21564574"
"118" "1021-3589" "AFRICAN ENTOMOLOGY" "B2" "10213589"
"119" "1681-5556" "AFRICAN INVERTEBRATES" "B2" "16815556"
"120" "1991-637X" "AFRICAN JOURNAL OF AGRICULTURAL RESEARCH" "C" "1991637X"
"121" "1996-0778" "AFRICAN JOURNAL OF BIOCHEMISTRY RESEARCH" "C" "19960778"
"122" "1684-5315" "AFRICAN JOURNAL OF BIOTECHNOLOGY" "B3" "16845315"
"123" "1993-8233" "AFRICAN JOURNAL OF BUSINESS MANAGEMENT" "B4" "19938233"
"124" "0141-6707" "AFRICAN JOURNAL OF ECOLOGY" "B2" "01416707"
"125" "1996-0794" "AFRICAN JOURNAL OF FOOD SCIENCE" "C" "19960794"
"126" "1814-232X" "AFRICAN JOURNAL OF MARINE SCIENCE (PRINT)" "B1" "1814232X"
"127" "1996-0808" "AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH" "B3" "19960808"
"128" "1996-0816" "AFRICAN JOURNAL OF PHARMACY AND PHARMACOLOGY" "C" "19960816"
"129" "1996-0824" "AFRICAN JOURNAL OF PLANT SCIENCE" "C" "19960824"
"130" "0189-6016" "AFRICAN JOURNAL OF TRADITIONAL, COMPLEMENTARY AND ALTERNATIVE MEDICINES" "C" "01896016"
"131" "2357-9951" "AGRARIAN ACADEMY" "C" "23579951"
"132" "1984-252X" "AGRARIAN (DOURADOS. IMPRESSO)" "C" "1984252X"
"133" "1984-2538" "AGRARIAN (DOURADOS. ONLINE)" "C" "19842538"
"134" "1461-9555" "AGRICULTURAL AND FOREST ENTOMOLOGY (PRINT)" "A2" "14619555"
"135" "0168-1923" "AGRICULTURAL AND FOREST METEOROLOGY (PRINT)" "A1" "01681923"
"136" "2026-6073" "AGRICULTURAL SCIENCE RESEARCH JOURNAL" "C" "20266073"
"137" "2156-8561" "AGRICULTURAL SCIENCES" "C" "21568561"
"138" "0378-3774" "AGRICULTURAL WATER MANAGEMENT (PRINT)" "B1" "03783774"
"139" "0167-8809" "AGRICULTURE, ECOSYSTEMS & ENVIRONMENT" "A1" "01678809"
"140" "0167-8809" "AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT)" "A1" "01678809"
"141" "1166-7699" "AGRICULTURES (MONTROUGE) / CAHIERS D'ÉTUDES ET DE RECHERCHES FRANCOPHONES" "B3" "11667699"
"142" "0100-4298" "AGROANALYSIS (FGV)" "C" "01004298"
"143" "1405-3195" "AGROCIENCIA (MONTECILLO)" "B3" "14053195"
"144" "1510-0839" "AGROCIENCIA (MONTEVIDEO)" "C" "15100839"
"145" "2301-1548" "AGROCIENCIA URUGUAY" "C" "23011548"
"146" "1990-2012" "AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT)" "B3" "19902012"
"147" "2525-6920" "AGROFORESTALIS NEWS" "C" "25256920"
"148" "1572-9680" "AGROFORESTRY SYSTEMS" "B2" "15729680"
"149" "0167-4366" "AGROFORESTRY SYSTEMS" "B2" "01674366"
"150" "0167-4366" "AGROFORESTRY SYSTEMS (PRINT)" "B2" "01674366"
"151" "1982-8470" "AGRO@MBIENTE ON-LINE" "C" "19828470"
"152" "0002-1962" "AGRONOMY JOURNAL (PRINT)" "A2" "00021962"
"153" "2359-1455" "AGRONOMY SCIENCE AND BIOTECHNOLOGY" "C" "23591455"
"154" "0103-0779" "AGROPECUÁRIA CATARINENSE" "C" "01030779"
"155" "1808-6845" "AGROPECUÁRIA CIENTÍFICA NO SEMI-ÁRIDO" "C" "18086845"
"156" "0100-7467" "AGROPECUÁRIA TÉCNICA (UFPB)" "C" "01007467"
"157" "2182-4401" "AGROTEC" "C" "21824401"
"158" "0103-3816" "AGROTRÓPICA" "C" "01033816"
"159" "0103-3816" "AGROTRÓPICA (ITABUNA)" "C" "01033816"
"160" "2179-9784" "ÁGUAS SUBTERRÂNEAS" "C" "21799784"
"161" "0001-1452" "AIAA JOURNAL (PRINT)" "A2" "00011452"
"162" "0889-2229" "AIDS RESEARCH AND HUMAN RETROVIRUSES" "B2" "08892229"
"163" "2375-1495" "AIMS BIOENGINEERING (ONLINE)" "C" "23751495"
"164" "2372-0352" "AIMS ENVIRONMENTAL SCIENCE" "C" "23720352"
"165" "2167-7719" "AIR & WATER BORNE DISEASES" "C" "21677719"
"166" "1133-9837" "ALAMBIQUE (BARCELONA)" "C" "11339837"
"167" "0103-4944" "ALBERTOA (RIO DE JANEIRO)" "C" "01034944"
"168" "0311-5518" "ALCHERINGA (SYDNEY)" "B2" "03115518"
"169" "0741-8329" "ALCOHOL (FAYETTEVILLE, N.Y.)" "B1" "07418329"
"170" "1982-5153" "ALEXANDRIA (UFSC)" "C" "19825153"
"171" "1226-2617" "ALGAE" "B1" "12262617"
"172" "2211-9264" "ALGAL RESEARCH" "A2" "22119264"
"173" "1864-1318" "ALGOLOGICAL STUDIES (2007)" "C" "18641318"
"174" "2179-4448" "ALIMENTOS E NUTRIÇO (ONLINE)" "C" "21794448"
"175" "0971-4693" "ALLELOPATHY JOURNAL" "B2" "09714693"
"176" "0301-0546" "ALLERGOLOGIA ET IMMUNOPATHOLOGIA (ED. IMPRESA)" "B3" "03010546"
"177" "0105-4538" "ALLERGY (COPENHAGEN)" "A2" "01054538"
