"ISSN" "titulo" "estrato" "ISSN2"
"1766" "1306-3065" "INTERNATIONAL JOURNAL OF ENVIRONMENTAL AND SCIENCE EDUCATION" "C" "13063065"
"1767" "1735-6865" "INTERNATIONAL JOURNAL OF ENVIRONMENTAL OF RESEARCH (PRINT)" "B3" "17356865"
"1768" "1660-4601" "INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH" "B1" "16604601"
"1769" "0959-9673" "INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY (PRINT)" "B1" "09599673"
"1770" "2347-2677" "INTERNATIONAL JOURNAL OF FAUNA AND BIOLOGICAL STUDIES" "C" "23472677"
"1771" "2006-9839" "INTERNATIONAL JOURNAL OF FISHERIES AND AQUACULTURE" "C" "20069839"
"1772" "2196-2804" "INTERNATIONAL JOURNAL OF FOOD CONTAMINATION" "C" "21962804"
"1773" "0168-1605" "INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY" "B1" "01681605"
"1774" "1094-2912" "INTERNATIONAL JOURNAL OF FOOD PROPERTIES" "B2" "10942912"
"1775" "0950-5423" "INTERNATIONAL JOURNAL OF FOOD SCIENCE & TECHNOLOGY" "B1" "09505423"
"1776" "0950-5423" "INTERNATIONAL JOURNAL OF FOOD SCIENCE & TECHNOLOGY (PRINT)" "B1" "09505423"
"1777" "1687-9368" "INTERNATIONAL JOURNAL OF FORESTRY RESEARCH" "C" "16879368"
"1778" "1178-7074" "INTERNATIONAL JOURNAL OF GENERAL MEDICINE" "B3" "11787074"
"1779" "2156-8359" "INTERNATIONAL JOURNAL OF GEOSCIENCES" "C" "21568359"
"1780" "2156-8367" "INTERNATIONAL JOURNAL OF GEOSCIENCES (ON LINE)" "C" "21568367"
"1781" "2278-3229" "INTERNATIONAL JOURNAL OF GREEN AND HERBAL CHEMISTRY" "C" "22783229"
"1782" "0973-8258" "INTERNATIONAL JOURNAL OF GREEN PHARMACY" "B4" "09738258"
"1783" "2414-2077" "INTERNATIONAL JOURNAL OF GREEN TECHNOLOGY" "C" "24142077"
"1784" "1750-5836" "INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL" "B1" "17505836"
"1785" "1476-072X" "INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS" "B1" "1476072X"
"1786" "2372-5079" "INTERNATIONAL JOURNAL OF HEALTH SCIENCES" "C" "23725079"
"1787" "0955-9930" "INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH" "B2" "09559930"
"1788" "1751-5521" "INTERNATIONAL JOURNAL OF LABORATORY HEMATOLOGY (PRINT)" "B2" "17515521"
"1789" "0937-9827" "INTERNATIONAL JOURNAL OF LEGAL MEDICINE (PRINT)" "B1" "09379827"
"1790" "1477-6545" "INTERNATIONAL JOURNAL OF LOW RADIATION" "B5" "14776545"
"1791" "1387-3806" "INTERNATIONAL JOURNAL OF MASS SPECTROMETRY (PRINT)" "B1" "13873806"
"1792" "1521-9437" "INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS" "B2" "15219437"
"1793" "1687-918X" "INTERNATIONAL JOURNAL OF MICROBIOLOGY (PRINT)" "B2" "1687918X"
"1794" "1422-0067" "INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES (ONLINE)" "B1" "14220067"
"1795" "0717-9502" "INTERNATIONAL JOURNAL OF MORPHOLOGY (ONLINE)" "B4" "07179502"
"1796" "2348-7941" "INTERNATIONAL JOURNAL OF MOSQUITO RESEARCH" "C" "23487941"
"1797" "0301-9322" "INTERNATIONAL JOURNAL OF MULTIPHASE FLOW" "A2" "03019322"
"1798" "1178-2013" "INTERNATIONAL JOURNAL OF NANOMEDICINE" "B1" "11782013"
"1799" "1178-2013" "INTERNATIONAL JOURNAL OF NANOMEDICINE (ONLINE)" "B1" "11782013"
"1800" "1176-9114" "INTERNATIONAL JOURNAL OF NANOMEDICINE (PRINT)" "B1" "11769114"
"1801" "2327-2694" "INTERNATIONAL JOURNAL OF NUTRITION AND FOOD SCIENCE" "C" "23272694"
"1802" "1388-7890" "INTERNATIONAL JOURNAL OF ODONATOLOGY" "B3" "13887890"
"1803" "2159-6719" "INTERNATIONAL JOURNAL OF ODONATOLOGY (ONLINE)" "B3" "21596719"
"1804" "1573-3904" "INTERNATIONAL JOURNAL OF PEPTIDE RESEARCH AND THERAPEUTICS" "C" "15733904"
"1805" "0967-0874" "INTERNATIONAL JOURNAL OF PEST MANAGEMENT (PRINT)" "B2" "09670874"
"1806" "0378-5173" "INTERNATIONAL JOURNAL OF PHARMACEUTICS (PRINT)" "B1" "03785173"
"1807" "0975-4873" "INTERNATIONAL JOURNAL OF PHARMACOGNOSY AND PHYTOCHEMICAL RESEARCH" "C" "09754873"
"1808" "0975-1491" "INTERNATIONAL JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES" "C" "09751491"
"1809" "2374-0639" "INTERNATIONAL JOURNAL OF PHYTOCOSMETICS AND NATURAL INGREDIENTS" "C" "23740639"
"1810" "1522-6514" "INTERNATIONAL JOURNAL OF PHYTOREMEDIATION" "B2" "15226514"
"1811" "2231-4490" "INTERNATIONAL JOURNAL OF PLANT, ANIMAL AND ENVIRONMENTAL SCIENCES" "C" "22314490"
"1812" "2037-0164" "INTERNATIONAL JOURNAL OF PLANT BIOLOGY" "B4" "20370164"
"1813" "1058-5893" "INTERNATIONAL JOURNAL OF PLANT SCIENCES" "B1" "10585893"
"1814" "0164-0291" "INTERNATIONAL JOURNAL OF PRIMATOLOGY" "A2" "01640291"
"1815" "2320-9577" "INTERNATIONAL JOURNAL OF PURE AND APPLIED ZOOLOGY (PRINT)" "C" "23209577"
"1816" "1366-5901" "INTERNATIONAL JOURNAL OF REMOTE SENSING (ONLINE)" "B1" "13665901"
"1817" "0143-1161" "INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT)" "B1" "01431161"
"1818" "2348-3997" "INTERNATIONAL JOURNAL OF RESEARCH IN AGRICULTURAL SCIENCES" "C" "23483997"
"1819" "2059-1977" "INTERNATIONAL JOURNAL OF RESEARCH IN ENVIRONMENTAL STUDIES" "C" "20591977"
"1820" "2349-0365" "INTERNATIONAL JOURNAL OF RESEARCH STUDIES IN BIOSCIENCES" "C" "23490365"
"1821" "0973-3140" "INTERNATIONAL JOURNAL OF SCIENCE AND NATURE" "C" "09733140"
"1822" "2053-5295" "INTERNATIONAL JOURNAL OF SCIENCE, COMMERCE AND HUMANITIES" "C" "20535295"
"1823" "2052-6164" "INTERNATIONAL JOURNAL OF SCIENCE COMMERCE AND HUMANITIES" "C" "20526164"
"1824" "2410-4477" "INTERNATIONAL JOURNAL OF SCIENCES" "C" "24104477"
"1825" "1001-6279" "INTERNATIONAL JOURNAL OF SEDIMENT RESEARCH" "B2" "10016279"
"1826" "1947-8402" "INTERNATIONAL JOURNAL OF SOCIAL ECOLOGY AND SUSTAINABLE DEVELOPMENT" "B3" "19478402"
"1827" "1827-806X" "INTERNATIONAL JOURNAL OF SPELEOLOGY" "B2" "1827806X"
"1828" "0392-6672" "INTERNATIONAL JOURNAL OF SPELEOLOGY" "B2" "03926672"
"1829" "2325-1166" "INTERNATIONAL JOURNAL OF SUSTAINABILITY POLICY AND PRACTICE" "B5" "23251166"
"1830" "1350-4509" "INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY" "B2" "13504509"
"1831" "1466-5034" "INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY (ONLINE)" "B2" "14665034"
"1832" "1466-5026" "INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY (PRINT)" "B2" "14665026"
"1833" "1091-5818" "INTERNATIONAL JOURNAL OF TOXICOLOGY" "B3" "10915818"
"1834" "1742-7584" "INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE (PRINT)" "B2" "17427584"
"1835" "1946-3138" "INTERNATIONAL JOURNAL OF URBAN SUSTAINABLE DEVELOPMENT" "B5" "19463138"
"1836" "1049-8001" "INTERNATIONAL JOURNAL OF WILDLAND FIRE" "B1" "10498001"
"1837" "2171-9748" "INTERNATIONAL MEDICAL REVIEW ON DOWN SYNDROME" "C" "21719748"
"1838" "2141-5447" "INTERNATIONAL RESEARCH JOURNAL OF PLANT SCIENCE" "C" "21415447"
"1839" "1434-2944" "INTERNATIONAL REVIEW OF HYDROBIOLOGY" "B1" "14342944"
"1840" "1528-3356" "INTERNATIONAL SPORTMED JOURNAL FOR FIMS" "B5" "15283356"
"1841" "0020-8841" "INTERNATIONAL SUGAR JOURNAL" "B4" "00208841"
"1842" "0074-9664" "INTERNATIONAL ZOO YEARBOOK" "B2" "00749664"
"1843" "1679-9844" "INTERSCIENCE PLACE" "C" "16799844"
"1844" "1807-1384" "INTERTHESIS (FLORIANÓPOLIS)" "C" "18071384"
"1845" "1077-8306" "INVERTEBRATE BIOLOGY" "B1" "10778306"
"1846" "0792-4259" "INVERTEBRATE REPRODUCTION & DEVELOPMENT" "B2" "07924259"
"1847" "1445-5226" "INVERTEBRATE SYSTEMATICS" "A2" "14455226"
"1848" "1516-6341" "INVESTIGAÇO (FRANCA)" "C" "15166341"
"1849" "2177-4080" "INVESTIGAÇO ONLINE" "C" "21774080"
"1850" "1518-8795" "INVESTIGAÇĠES EM ENSINO DE CIÊNCIAS (ONLINE)" "C" "15188795"
"1851" "1518-9384" "INVESTIGAÇĠES EM ENSINO DE CIÊNCIAS (UFRGS. IMPRESSO)" "C" "15189384"
"1852" "0733-3390" "IRISH LITERARY SUPPLEMENT" "C" "07333390"
"1853" "1413-7895" "IRRIGA (UNESP BOTUCATU)" "B4" "14137895"
"1854" "1808-3765" "IRRIGA (UNESP. CD-ROM)" "B4" "18083765"
"1855" "1025-6016" "ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES" "B3" "10256016"
"1856" "2220-9964" "ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION" "B3" "22209964"
"1857" "0924-2716" "ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING" "B1" "09242716"
"1858" "2090-8695" "ISRN INFLAMMATION (INTERNATIONAL SCHOLARLY RESEARCH NETWORK)" "C" "20908695"
"1859" "2090-7486" "ISRN MICROBIOLOGY" "C" "20907486"
"1860" "2090-4436" "ISRN OBSTETRICS AND GYNECOLOGY" "C" "20904436"
"1861" "2090-4444" "ISRN OBSTETRICS AND GYNECOLOGY" "C" "20904444"
"1862" "2314-4076" "ISRN PARASITOLOGY" "C" "23144076"
"1863" "2090-8733" "ISRN POLYMER SCIENCE" "C" "20908733"
"1864" "1120-1770" "ITALIAN JOURNAL OF FOOD SCIENCES" "B3" "11201770"
"1865" "1748-5851" "ITALIAN JOURNAL OF ZOOLOGY (ONLINE)" "B2" "17485851"
"1866" "1023-9030" "IUCN OTTER SPECIALIST GROUP BULLETIN" "B4" "10239030"
"1867" "2376-9343" "JACOBS JOURNAL OF MICROBIOLOGY AND PATHOLOGY" "C" "23769343"
"1868" "0021-3551" "JARQ. JAPAN AGRICULTURAL RESEARCH QUARTERLY" "B2" "00213551"
"1869" "1806-3713" "JORNAL BRASILEIRO DE PNEUMOLOGIA (IMPRESSO)" "B3" "18063713"
"1870" "1518-0557" "JORNAL BRASILEIRO DE REPRODUÇO ASSISTIDA" "B5" "15180557"
"1871" "1517-5693" "JORNAL BRASILEIRO DE REPRODUÇO ASSISTIDA (IMPRESSO)" "B5" "15175693"
"1872" "1677-7301" "JORNAL VASCULAR BRASILEIRO (IMPRESSO)" "B5" "16777301"
"1873" "1617-1381" "JOURNAL FOR NATURE CONSERVATION (PRINT)" "A2" "16171381"
"1874" "0021-8375" "JOURNAL FUR ORNITHOLOGIE" "A2" "00218375"
"1875" "1661-5751" "JOURNAL FUR VERBRAUCHERSCHUTZ UND LEBENSMITTELSICHERHEIT (PRINT) / JOURNAL OF CONSUMER PROTECTION AND FOOD SAFETY" "B3" "16615751"
"1876" "1538-0254" "JOURNAL JOURNAL OF BIOMOLECULAR STRUCTURE AND DYNAMICS" "B5" "15380254"
"1877" "2377-9764" "JOURNAL OF ADVANCED NUTRITION AND HUMAN METABOLISM" "C" "23779764"
"1878" "2090-1232" "JOURNAL OF ADVANCED RESEARCH" "B2" "20901232"
"1879" "2349-0837" "JOURNAL OF ADVANCES IN AGRICULTURE" "C" "23490837"
"1880" "2347-6893" "JOURNAL OF ADVANCES IN BIOLOGY" "C" "23476893"
"1881" "2175-9146" "JOURNAL OF AEROSPACE TECHNOLOGY AND MANAGEMENT (ONLINE)" "B4" "21759146"
"1882" "1990-6145" "JOURNAL OF AGRICULTURAL AND BIOLOGICAL SCIENCE" "C" "19906145"
"1883" "0021-8561" "JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY" "A1" "00218561"
"1884" "1916-9760" "JOURNAL OF AGRICULTURAL SCIENCE" "B1" "19169760"
"1885" "1916-9752" "JOURNAL OF AGRICULTURAL SCIENCE" "B1" "19169752"
"1886" "1939-1250" "JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY B (USA. PRINT)" "B3" "19391250"
"1887" "0021-8596" "JOURNAL OF AGRICULTURAL SCIENCE (PRINT)" "B1" "00218596"
"1888" "2334-2404" "JOURNAL OF AGRICULTURE AND ENVIRONMENTAL SCIENCES" "C" "23342404"
"1889" "2375-4214" "JOURNAL OF AGRICULTURE AND LIFE SCIENCES" "C" "23754214"
"1890" "2316-1809" "JOURNAL OF AGRONOMIC SCIENCES" "C" "23161809"
"1891" "2316-1809" "JOURNAL OF AGRONOMIC SCIENCES" "C" "23161809"
"1892" "2316-1809" "JOURNAL OF AGRONOMICAL SCIENCES" "C" "23161809"
"1893" "1812-5379" "JOURNAL OF AGRONOMY (PRINT)" "B5" "18125379"
"1894" "2229-6905" "JOURNAL OF ALGAL BIOMASS UTILIZATION" "C" "22296905"
"1895" "2312-8666" "JOURNAL OF ALLELOCHEMICAL INTERACTIONS" "C" "23128666"
"1896" "2446-5186" "JOURNAL OF AMAZON HEALTH SCIENCE" "C" "24465186"
"1897" "0267-9477" "JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY (PRINT)" "A2" "02679477"
"1898" "0021-8782" "JOURNAL OF ANATOMY (PRINT)" "A2" "00218782"
"1899" "0021-8790" "JOURNAL OF ANIMAL ECOLOGY (PRINT)" "A1" "00218790"
"1900" "1525-3163" "JOURNAL OF ANIMAL SCIENCE" "A1" "15253163"
"1901" "0305-7453" "JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY (PRINT)" "A2" "03057453"
"1902" "1060-3271" "JOURNAL OF AOAC INTERNATIONAL" "B3" "10603271"
"1903" "2078-6913" "JOURNAL OF APICULTURAL RESEARCH" "A2" "20786913"
"1904" "0021-8839" "JOURNAL OF APICULTURAL RESEARCH" "A2" "00218839"
"1905" "1088-8705" "JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE" "B2" "10888705"
"1906" "1545-0805" "JOURNAL OF APPLIED AQUACULTURE" "B2" "15450805"
"1907" "2347-212X" "JOURNAL OF APPLIED BIOLOGY & BIOTECHNOLOGY" "C" "2347212X"
"1908" "1613-9216" "JOURNAL OF APPLIED BOTANY AND FOOD QUALITY" "B2" "16139216"
"1909" "1365-2664" "JOURNAL OF APPLIED ECOLOGY (ONLINE)" "A1" "13652664"
"1910" "0021-8901" "JOURNAL OF APPLIED ECOLOGY (PRINT)" "A1" "00218901"
"1911" "0931-2048" "JOURNAL OF APPLIED ENTOMOLOGY (1986)" "A2" "09312048"
"1912" "0175-8659" "JOURNAL OF APPLIED ICHTHYOLOGY" "B1" "01758659"
"1913" "1439-0426" "JOURNAL OF APPLIED ICHTHYOLOGY (ONLINE)" "B1" "14390426"
"1914" "1364-5072" "JOURNAL OF APPLIED MICROBIOLOGY (PRINT)" "B2" "13645072"
"1915" "2231-3354" "JOURNAL OF APPLIED PHARMACEUTICAL SCIENCE" "B4" "22313354"
"1916" "0921-8971" "JOURNAL OF APPLIED PHYCOLOGY" "A2" "09218971"
"1917" "8750-7587" "JOURNAL OF APPLIED PHYSIOLOGY (1985)" "B1" "87507587"
"1918" "1931-3195" "JOURNAL OF APPLIED REMOTE SENSING" "B3" "19313195"
"1919" "1360-0532" "JOURNAL OF APPLIED STATISTICS" "B3" "13600532"
"1920" "0266-4763" "JOURNAL OF APPLIED STATISTICS" "B3" "02664763"
"1921" "1099-1263" "JOURNAL OF APPLIED TOXICOLOGY (ONLINE)" "B1" "10991263"
"1922" "2155-9546" "JOURNAL OF AQUACULTURE RESEARCH & DEVELOPMENT" "C" "21559546"
"1923" "2155-9546" "JOURNAL OF AQUACULTURE RESEARCH & DEVELOPMENT" "C" "21559546"
"1924" "1049-8850" "JOURNAL OF AQUATIC FOOD PRODUCT TECHNOLOGY" "B3" "10498850"
"1925" "0146-6623" "JOURNAL OF AQUATIC PLANT MANAGEMENT" "B2" "01466623"
"1926" "0305-4403" "JOURNAL OF ARCHAEOLOGICAL SCIENCE" "B1" "03054403"
"1927" "0140-1963" "JOURNAL OF ARID ENVIRONMENTS" "A2" "01401963"
"1928" "1226-8615" "JOURNAL OF ASIA PACIFIC ENTOMOLOGY" "B2" "12268615"
"1929" "1367-9120" "JOURNAL OF ASIAN EARTH SCIENCES" "B1" "13679120"
"1930" "0167-7764" "JOURNAL OF ATMOSPHERIC CHEMISTRY (PRINT)" "B2" "01677764"
"1931" "0908-8857" "JOURNAL OF AVIAN BIOLOGY" "A1" "09088857"
"1932" "0233-111X" "JOURNAL OF BASIC MICROBIOLOGY" "B2" "0233111X"
"1933" "0974-2328" "JOURNAL OF BIOCHEMICAL TECHNOLOGY" "C" "09742328"
"1934" "0021-924X" "JOURNAL OF BIOCHEMISTRY (TOKYO)" "B2" "0021924X"
"1935" "2222-3045" "JOURNAL OF BIODIVERSITY AND ENVIRONMENTAL SCIENCES (ONLINE)" "C" "22223045"
"1936" "1387-6996" "JOURNAL OF BIOECONOMICS (PRINT)" "B2" "13876996"
"1937" "2359-2710" "JOURNAL OF BIOENERGY AND FOOD SCIENCE" "C" "23592710"
"1938" "1365-2699" "JOURNAL OF BIOGEOGRAPHY" "A1" "13652699"
"1939" "0305-0270" "JOURNAL OF BIOGEOGRAPHY (PRINT)" "A1" "03050270"
"1940" "1307-9530" "JOURNAL OF BIOLOGICAL AND ENVIRONMENTAL SCIENCES" "C" "13079530"
"1941" "0092-0606" "JOURNAL OF BIOLOGICAL PHYSICS (PRINT)" "B3" "00920606"
"1942" "2231-1874" "JOURNAL OF BIOLOGICALLY ACTIVE PRODUCTS FROM NATURE" "C" "22311874"
"1943" "2052-0751" "JOURNAL OF BIOLOGY" "C" "20520751"
"1944" "1475-4924" "JOURNAL OF BIOLOGY (ONLINE)" "C" "14754924"
"1945" "0920-5063" "JOURNAL OF BIOMATERIALS SCIENCE. POLYMER ED. (PRINT)" "B2" "09205063"
"1946" "1552-4973" "JOURNAL OF BIOMEDICAL MATERIALS RESEARCH. PART B, APPLIED BIOMATERIALS" "B1" "15524973"
"1947" "1083-3668" "JOURNAL OF BIOMEDICAL OPTICS" "B1" "10833668"
"1948" "1110-7243" "JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY" "C" "11107243"
"1949" "1110-7251" "JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY (ONLINE)" "C" "11107251"
"1950" "2230-8385" "JOURNAL OF BIOPESTICIDES" "B4" "22308385"
"1951" "0250-5991" "JOURNAL OF BIOSCIENCES" "B1" "02505991"
"1952" "2327-5081" "JOURNAL OF BIOSCIENCES AND MEDICINES" "C" "23275081"
"1953" "0168-1656" "JOURNAL OF BIOTECHNOLOGY" "B1" "01681656"
"1954" "2179-4803" "JOURNAL OF BIOTECHNOLOGY AND BIODIVERSITY" "C" "21794803"
"1955" "2179-4804" "JOURNAL OF BIOTECHNOLOGY AND BIODIVERSITY" "C" "21794804"
"1956" "2155-9864" "JOURNAL OF BLOOD DISORDERS & TRANSFUSION" "C" "21559864"
"1957" "2090-0120" "JOURNAL OF BOTANY" "C" "20900120"
"1958" "1809-8401" "JOURNAL OF BRAZILIAN SOCIETY OF ECOTOXICOLOGY" "C" "18098401"
"1959" "0373-6687" "JOURNAL OF BRYOLOGY" "B2" "03736687"
"1960" "1837-9664" "JOURNAL OF CANCER" "B2" "18379664"
"1961" "1090-6924" "JOURNAL OF CAVES AND KARST STUDIES" "B3" "10906924"
"1962" "1582-1838" "JOURNAL OF CELLULAR AND MOLECULAR MEDICINE (PRINT)" "A2" "15821838"
"1963" "0730-2312" "JOURNAL OF CELLULAR BIOCHEMISTRY (PRINT)" "B1" "07302312"
"1964" "0975-7384" "JOURNAL OF CHEMICAL AND PHARMACEUTICAL RESEARCH" "C" "09757384"
"1965" "0098-0331" "JOURNAL OF CHEMICAL ECOLOGY" "A2" "00980331"
"1966" "0891-0618" "JOURNAL OF CHEMICAL NEUROANATOMY" "B2" "08910618"
"1967" "0268-2575" "JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY (1986)" "B1" "02682575"
"1968" "2090-9063" "JOURNAL OF CHEMISTRY" "B3" "20909063"
"1969" "1570-0232" "JOURNAL OF CHROMATOGRAPHY. B (PRINT)" "B1" "15700232"
"1970" "0021-9673" "JOURNAL OF CHROMATOGRAPHY (PRINT)" "A2" "00219673"
"1971" "2165-7920" "JOURNAL OF CLINICAL CASE REPORTS" "C" "21657920"
"1972" "0095-1137" "JOURNAL OF CLINICAL MICROBIOLOGY (PRINT)" "A2" "00951137"
"1973" "1874-7841" "JOURNAL OF COASTAL CONSERVATION" "B2" "18747841"
"1974" "1400-0350" "JOURNAL OF COASTAL CONSERVATION" "B2" "14000350"
"1975" "2309-5288" "JOURNAL OF COASTAL LIFE MEDICINE" "C" "23095288"
"1976" "1551-5036" "JOURNAL OF COASTAL RESEARCH" "B3" "15515036"
"1977" "0749-0208" "JOURNAL OF COASTAL RESEARCH" "B3" "07490208"
"1978" "0749-0208" "JOURNAL OF COASTAL RESEARCH" "B3" "07490208"
"1979" "0021-9797" "JOURNAL OF COLLOID AND INTERFACE SCIENCE (PRINT)" "A2" "00219797"
"1980" "2237-9363" "JOURNAL OF COLOPROCTOLOGY (RIO DE JANEIRO. IMPRESSO)" "B4" "22379363"
"1981" "0021-9967" "JOURNAL OF COMPARATIVE NEUROLOGY (1911)" "A1" "00219967"
"1982" "0340-7594" "JOURNAL OF COMPARATIVE PHYSIOLOGY. A, SENSORY, NEURAL, AND BEHAVIORAL PHYSIOLOGY" "A2" "03407594"
"1983" "0174-1578" "JOURNAL OF COMPARATIVE PHYSIOLOGY. B, BIOCHEMICAL, SYSTEMIC, AND ENVIRONMENTAL PHYSIOLOGY" "A2" "01741578"
"1984" "2051-1310" "JOURNAL OF COMPLEX NETWORKS" "B5" "20511310"
"1985" "1546-1955" "JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE" "B2" "15461955"
"1986" "0022-0000" "JOURNAL OF COMPUTER AND SYSTEM SCIENCES (PRINT)" "B1" "00220000"
"1987" "0022-0019" "JOURNAL OF CONCHOLOGY" "B2" "00220019"
"1988" "2212-9820" "JOURNAL OF CO2 UTILIZATION" "B3" "22129820"
"1989" "1975-9479" "JOURNAL OF CROP SCIENCE AND BIOTECHNOLOGY (SEOUL)" "C" "19759479"
"1990" "0278-0372" "JOURNAL OF CRUSTACEAN BIOLOGY" "B1" "02780372"
"1991" "2381-201X" "JOURNAL OF DIABETES AND METABOLIC DISORDERS" "C" "2381201X"
"1992" "2314-6745" "JOURNAL OF DIABETES RESEARCH" "B3" "23146745"
"1993" "2157-7617" "JOURNAL OF EARTH SCIENCE & CLIMATIC CHANGE" "C" "21577617"
"1994" "1365-2745" "JOURNAL OF ECOLOGY" "A1" "13652745"
"1995" "2006-9847" "JOURNAL OF ECOLOGY AND THE NATURAL ENVIRONMENT (JENE)" "C" "20069847"
"1996" "0022-0477" "JOURNAL OF ECOLOGY (PRINT)" "A1" "00220477"
"1997" "0022-0493" "JOURNAL OF ECONOMIC ENTOMOLOGY" "A2" "00220493"
"1998" "2157-7625" "JOURNAL OF ECOSYSTEM & ECOGRAPHY" "C" "21577625"
"1999" "1572-6657" "JOURNAL OF ELECTROANALYTICAL CHEMISTRY" "B1" "15726657"
"2000" "0368-2048" "JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA (PRINT)" "B2" "03682048"
"2001" "2006-9855" "JOURNAL OF ENTOMOLOGY AND NEMATOLOGY" "C" "20069855"
"2002" "1812-5670" "JOURNAL OF ENTOMOLOGY (PRINT)" "C" "18125670"
"2003" "2525-815X" "JOURNAL OF ENVIRONMENTAL ANALYSIS AND PROGRESS" "C" "2525815X"
"2004" "1726-2135" "JOURNAL OF ENVIRONMENTAL INFORMATICS" "B2" "17262135"
"2005" "0301-4797" "JOURNAL OF ENVIRONMENTAL MANAGEMENT" "A2" "03014797"
"2006" "0964-0568" "JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT (PRINT)" "B1" "09640568"
"2007" "2152-2219" "JOURNAL OF ENVIRONMENTAL PROTECTION (ONLINE)" "C" "21522219"
"2008" "2152-2197" "JOURNAL OF ENVIRONMENTAL PROTECTION (PRINT)" "C" "21522197"
"2009" "0047-2425" "JOURNAL OF ENVIRONMENTAL QUALITY" "B1" "00472425"
"2010" "0265-931X" "JOURNAL OF ENVIRONMENTAL RADIOACTIVITY" "B1" "0265931X"
"2011" "1934-8932" "JOURNAL OF ENVIRONMENTAL SCIENCE AND ENGINEERING" "B5" "19348932"
"2012" "0360-1234" "JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH. PART B. PESTICIDES, FOOD CONTAMINANTS, AND AGRICULTURAL WASTES" "B2" "03601234"
"2013" "1001-0742" "JOURNAL OF ENVIRONMENTAL SCIENCES (CHINA)" "B1" "10010742"
"2014" "0976-5026" "JOURNAL OF ESSENTIAL OIL BEARING PLANTS" "B3" "09765026"
"2015" "0972-060X" "JOURNAL OF ESSENTIAL OIL-BEARING PLANTS" "B3" "0972060X"
"2016" "0278-0771" "JOURNAL OF ETHNOBIOLOGY" "B3" "02780771"
"2017" "1746-4269" "JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE" "B1" "17464269"
"2018" "0378-8741" "JOURNAL OF ETHNOPHARMACOLOGY" "A1" "03788741"
"2019" "0289-0771" "JOURNAL OF ETHOLOGY" "B2" "02890771"
"2020" "1010-061X" "JOURNAL OF EVOLUTIONARY BIOLOGY" "A1" "1010061X"
"2021" "1420-9101" "JOURNAL OF EVOLUTIONARY BIOLOGY (ELECTRONIC ED.)" "A1" "14209101"
"2022" "1010-061X" "JOURNAL OF EVOLUTIONARY BIOLOGY (PRINTED ED.)" "A1" "1010061X"
"2023" "0022-0949" "JOURNAL OF EXPERIMENTAL BIOLOGY" "A2" "00220949"
"2024" "1477-9145" "JOURNAL OF EXPERIMENTAL BIOLOGY (ONLINE)" "A2" "14779145"
"2025" "0022-0957" "JOURNAL OF EXPERIMENTAL BOTANY" "A1" "00220957"
"2026" "1460-2431" "JOURNAL OF EXPERIMENTAL BOTANY (ONLINE)" "A1" "14602431"
"2027" "0022-0981" "JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY" "A1" "00220981"
"2028" "1745-8099" "JOURNAL OF EXPERIMENTAL NANOSCIENCE" "B3" "17458099"
"2029" "1932-5223" "JOURNAL OF EXPERIMENTAL ZOOLOGY. PART A - ECOLOGICAL GENETICS AND PHYSIOLOGY" "B1" "19325223"
"2030" "1548-8969" "JOURNAL OF EXPERIMENTAL ZOOLOGY. PART A, COMPARATIVE EXPERIMENTAL BIOLOGY" "B1" "15488969"
